鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
七股區,土地,竹子港段897地號,3694.0,,特定農業區,農牧用地,1150110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10150000,2748,,0.0,0,農作物；,RPWNMLTJKHLGFGD56DA,0.0,0.0,0.0,無,
北門區,土地,渡子頭段520-35地號,7859.5,,一般農業區,養殖用地,1150119,土地9建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,445,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKKHLGFGD67DA,0.0,0.0,0.0,無,
新市區,土地,三民段517地號,149.86,住,,,1150123,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6200000,41372,,0.0,0,未登記建物；包含公共設施保留地用地；,RPOOMLNLJHLGFHD08DA,0.0,0.0,0.0,無,
善化區,土地,善特段179地號,66.12,都市：其他:生活服務區,,,1150125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9600000,145191,,0.0,0,,RPQNMLKKKHLGFHD87DA,0.0,0.0,0.0,無,020
新化區,房地(土地+建物),臺南市新化區民治路１３巷１６號,124.5,住,,,1150110,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0761126,120.87,4,2,3,有,無,11750000,97212,,0.0,0,,RPTNMLLKKHLGFHD28DA,120.87,0.0,0.0,無,021
歸仁區,房地(土地+建物),臺南市歸仁區看西里仁愛南街１０２巷９弄５號,83.0,住,,,1150102,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0791106,166.11,4,1,3,有,無,7000000,42141,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLKKKHLGFID18DA,143.15,6.49,16.47,無,
永康區,房地(土地+建物),臺南市永康區埔園里中正路１５５巷５號,61.05,住,,,1150114,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750520,63.97,4,2,5,有,無,4860000,75973,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKLJHLGFKD68DA,59.09,0.0,4.88,無,
永康區,房地(土地+建物),臺南市永康區南灣里南興路１１２巷１０６號,772.01,住,,,1150109,土地2建物1車位0,全,一層,透天厝,住工用,鐵造,0771007,329.5,2,1,2,有,無,51100000,155083,,0.0,0,702地號：4490萬元、703地號：533萬元、198建號：87萬元親友、員工、共有人或其他特殊關係間之交易；,RPOOMLLLJHLGFKD18DA,329.5,0.0,0.0,無,
永康區,土地,東南段704地號,711.8,住,,,1150109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,68900000,96797,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLLLJHLGFKD28DA,0.0,0.0,0.0,無,
永康區,房地(土地+建物),臺南市永康區復國二路８７巷２７號,73.94,住,,,1150123,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690700,89.68,5,2,3,有,無,7900000,88091,,0.0,0,,RPQNMLKKKHLGFKD18DA,89.68,0.0,0.0,無,022
安南區,房地(土地+建物),臺南市安南區公學路四段１２２巷９６弄５２之２３號,72.16,住,,,1150121,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130403,153.99,4,2,4,有,無,18800000,122086,,0.0,0,,RPPNMLKKKHLGFBD27EA,137.77,0.0,16.22,無,
