鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,20.15,住,,,1150106,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.21,2,2,2,有,無,12200000,114356,坡道平面,43.14,1900000,,RPXNMLSJJHLGFCD68CB,天生贏家７- 是建築,A棟7號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,29.29,住,,,1150106,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.35,3,2,2,有,無,18180000,124261,坡道平面,43.14,2000000,,RPOOMLSJJHLGFCD87CB,天生贏家７- 是建築,A棟1號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,27.19,住,,,1150106,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,163.8,3,2,2,有,無,16180000,117520,坡道平面,43.14,2000000,,RPPOMLSJJHLGFCD97CB,天生贏家７- 是建築,A棟5號,
歸仁區,房地(土地+建物),臺南市歸仁區七甲二街57巷,84.28,,鄉村區,乙種建築用地,1150105,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,195.34,5,2,4,有,無,16280000,83342,,0.0,0,,RPPNMLSJJHLGFID48CB,夏川7期,A棟2號,
歸仁區,房地(土地+建物),臺南市歸仁區七甲二街57巷,98.28,,鄉村區,乙種建築用地,1150106,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,201.2,5,2,5,有,無,17000000,84493,,0.0,0,,RPQNMLSJJHLGFID58CB,夏川7期,A棟6號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,20.39,住,,,1150109,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.75,2,2,2,有,無,12200000,115881,坡道平面,43.14,1700000,,RPPNMLTJJHLGFCD97CB,天生贏家７- 是建築,A棟6號,
學甲區,房地(土地+建物),臺南市學甲區賴承宗宗親會旁,78.16,,鄉村區,乙種建築用地,1150101,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,168.5,4,2,4,有,無,8420000,49970,,0.0,0,,RPPNMLTJJHLGFGD38CB,杉禾苑,B棟11號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,22.08,住,,,1150106,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.74,3,2,2,有,無,11350000,93774,坡道平面,29.3,1650000,,RPQNMLKKJHLGFBD17CB,佳展安和,B1棟12號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150106,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.82,2,2,2,有,無,10100000,97692,坡道平面,29.3,1550000,,RPRNMLKKJHLGFBD27CB,佳展安和,B6棟8號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,30.3,住,,,1150106,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.31,4,2,2,有,無,15020000,96207,坡道平面,29.3,1550000,,RPROMLKKJHLGFBD37CB,佳展安和,C3棟7號,
